pitch_number,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25,5.333333333
2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20,25
3,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15
4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70,2.75
5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,6
9,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20,15
10,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25,12.5
11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75
13,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50,0.75
14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20,3
17,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50,20
18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50,2
20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,25,1.25
23,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,28,16.65
24,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,30,6
25,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,25,3.5
26,1,1,1,1,0,1,0,0,0,1,0,0,1,0,2,25,5
27,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,8.333333333,6.666666667
29,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,10,6.666666667
30,1,1,1,1,0,1,0,1,0,1,0,0,1,0,3,10,1
31,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,50,15
33,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,15,10
34,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,75,15
35,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,13.33333333,8
37,1,1,1,1,0,1,0,0,1,0,1,0,1,0,3,35,1
38,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,25,10
39,1,1,1,1,0,1,0,1,1,1,0,0,1,0,4,25,2.5
40,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,50,3
41,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
42,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,100,40
44,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,25,25
45,1,1,1,1,0,1,0,0,1,1,1,0,0,0,3,1.67E-05,1.666666667
46,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,25,1.75
47,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,37.5,7.5
49,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2,22.5,6
50,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,10,5
51,1,1,1,1,0,1,0,1,0,0,1,0,1,0,3,50,5
52,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,80,20
54,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
55,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
57,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,1,1,1,0,1,0,1,0,1,1,0,1,0,4,15,2.5
60,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,40,3
63,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
64,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,20,2
65,1,1,1,0,1,1,0,1,0,1,0,1,0,0,3,33.33333333,5
66,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,25,75
67,1,1,1,0,1,1,0,0,1,0,0,1,0,0,2,17.5,12
68,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,20,1.333333333
69,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
70,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
71,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,50,10
73,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
75,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
76,0,1,0,1,1,1,1,0,1,0,0,0,0,1,2,25,17.5
77,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,10,40
78,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
79,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,50,15
80,0,1,0,1,1,1,1,0,1,0,1,1,1,1,5,20,1.2
81,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
82,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,50,50
83,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,65,3
85,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
86,0,1,0,1,1,1,1,0,1,0,1,0,1,1,4,0.0002525,1
87,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
88,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,100,4
89,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,33.33333333,5
90,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
91,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,16.66666667,10
92,0,1,0,1,1,1,1,0,0,0,1,1,0,1,3,25,7
93,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
94,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
95,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
96,1,1,1,1,1,0,0,0,0,0,1,1,0,0,2,40,3
97,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,2.68
102,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
104,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
105,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,50,2
106,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
107,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,40,25
108,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
109,1,1,1,1,0,1,0,1,1,0,0,0,1,0,3,20,3.333333333
110,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,5,5
111,1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,10,5
112,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
113,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
114,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
115,1,1,1,1,1,1,1,1,1,1,0,1,0,0,4,10,7.5
116,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
117,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
